pair,count
"('deep-learning', 'machine-learning')",974
"('machine-learning', 'python')",894
"('machine-learning', 'neural-network')",612
"('classification', 'machine-learning')",602
"('deep-learning', 'neural-network')",573
"('keras', 'tensorflow')",546
"('python', 'scikit-learn')",421
"('machine-learning', 'nlp')",410
"('pandas', 'python')",384
"('machine-learning', 'scikit-learn')",352
"('deep-learning', 'keras')",333
"('keras', 'python')",318
"('deep-learning', 'tensorflow')",310
"('deep-learning', 'python')",303
"('machine-learning', 'machine-learning-model')",298
"('machine-learning', 'regression')",285
"('deep-learning', 'nlp')",273
"('python', 'tensorflow')",269
"('machine-learning', 'time-series')",264
"('keras', 'neural-network')",246
"('cnn', 'deep-learning')",245
"('keras', 'machine-learning')",243
"('machine-learning', 'tensorflow')",243
"('nlp', 'python')",240
"('data-science-model', 'machine-learning')",227
"('machine-learning', 'statistics')",207
"('machine-learning', 'predictive-modeling')",205
"('classification', 'python')",204
"('neural-network', 'python')",198
"('dataset', 'machine-learning')",197
"('python', 'time-series')",188
"('neural-network', 'tensorflow')",186
"('feature-selection', 'machine-learning')",184
"('bert', 'nlp')",179
"('nlp', 'transformer')",177
"('lstm', 'time-series')",169
"('machine-learning', 'random-forest')",165
"('forecasting', 'time-series')",162
"('nlp', 'word-embeddings')",161
"('classification', 'deep-learning')",160
"('keras', 'lstm')",159
"('clustering', 'machine-learning')",157
"('deep-learning', 'lstm')",156
"('deep-learning', 'pytorch')",155
"('data-mining', 'machine-learning')",145
"('computer-vision', 'deep-learning')",143
"('machine-learning', 'training')",142
"('cnn', 'neural-network')",139
"('cnn', 'keras')",139
"('dataframe', 'pandas')",138
"('lstm', 'rnn')",134
"('cnn', 'machine-learning')",134
"('feature-engineering', 'machine-learning')",132
"('lstm', 'machine-learning')",128
"('cross-validation', 'machine-learning')",127
"('clustering', 'k-means')",125
"('deep-learning', 'time-series')",122
"('dataframe', 'python')",122
"('linear-regression', 'machine-learning')",121
"('classification', 'neural-network')",120
"('python', 'pytorch')",120
"('class-imbalance', 'classification')",119
"('classification', 'scikit-learn')",118
"('nlp', 'text-classification')",118
"('decision-trees', 'machine-learning')",118
"('machine-learning', 'xgboost')",117
"('deep-learning', 'transformer')",115
"('cnn', 'tensorflow')",113
"('data', 'dataset')",113
"('python', 'regression')",113
"('clustering', 'python')",112
"('machine-learning', 'r')",111
"('convolutional-neural-network', 'deep-learning')",111
"('numpy', 'python')",108
"('logistic-regression', 'machine-learning')",108
"('data', 'machine-learning')",107
"('class-imbalance', 'machine-learning')",107
"('lstm', 'neural-network')",102
"('data-science-model', 'python')",99
"('neural-network', 'pytorch')",99
"('computer-vision', 'machine-learning')",98
"('convolutional-neural-network', 'neural-network')",97
"('deep-learning', 'image-classification')",96
"('regression', 'time-series')",94
"('lstm', 'python')",94
"('dataset', 'python')",94
"('neural-network', 'nlp')",93
"('python', 'random-forest')",93
"('random-forest', 'scikit-learn')",93
"('machine-learning', 'optimization')",89
"('feature-engineering', 'feature-selection')",89
"('machine-learning', 'preprocessing')",89
"('data-cleaning', 'machine-learning')",88
"('machine-learning', 'supervised-learning')",87
"('classification', 'multiclass-classification')",87
"('classification', 'nlp')",86
"('machine-learning', 'pytorch')",86
"('deep-learning', 'machine-learning-model')",85
"('machine-learning', 'svm')",85
"('machine-learning', 'reinforcement-learning')",85
"('image-classification', 'machine-learning')",84
"('attention-mechanism', 'transformer')",84
"('cnn', 'image-classification')",84
"('linear-regression', 'regression')",83
"('language-model', 'nlp')",81
"('nlp', 'text-mining')",80
"('machine-learning', 'unsupervised-learning')",80
"('neural-network', 'rnn')",80
"('nlp', 'word2vec')",80
"('lstm', 'tensorflow')",79
"('machine-learning', 'text-classification')",79
"('machine-learning', 'overfitting')",79
"('machine-learning', 'model-evaluations')",78
"('machine-learning', 'transformer')",77
"('data-cleaning', 'pandas')",77
"('bert', 'transformer')",77
"('classification', 'time-series')",77
"('word-embeddings', 'word2vec')",77
"('python', 'python-3.x')",77
"('gradient-descent', 'machine-learning')",76
"('computer-vision', 'object-detection')",76
"('machine-learning', 'recommender-system')",76
"('machine-learning', 'multiclass-classification')",76
"('neural-network', 'time-series')",76
"('forecasting', 'machine-learning')",75
"('neural-network', 'regression')",75
"('deep-learning', 'object-detection')",75
"('regression', 'scikit-learn')",75
"('keras', 'time-series')",75
"('cnn', 'python')",75
"('clustering', 'unsupervised-learning')",74
"('machine-learning', 'prediction')",74
"('deep-learning', 'training')",72
"('decision-trees', 'random-forest')",71
"('deep-learning', 'rnn')",70
"('cnn', 'convolutional-neural-network')",70
"('data-cleaning', 'python')",69
"('classification', 'regression')",69
"('backpropagation', 'neural-network')",69
"('feature-selection', 'python')",69
"('data', 'python')",69
"('dataset', 'deep-learning')",68
"('matplotlib', 'python')",68
"('neural-network', 'training')",68
"('python', 'xgboost')",68
"('classification', 'logistic-regression')",67
"('machine-learning', 'pandas')",67
"('machine-learning-model', 'python')",66
"('hyperparameter-tuning', 'machine-learning')",66
"('data-cleaning', 'dataset')",66
"('data-science-model', 'deep-learning')",66
"('loss-function', 'neural-network')",65
"('predictive-modeling', 'python')",65
"('accuracy', 'machine-learning')",65
"('pandas', 'scikit-learn')",65
"('image-classification', 'keras')",64
"('preprocessing', 'python')",64
"('decision-trees', 'scikit-learn')",63
"('classification', 'predictive-modeling')",62
"('python', 'statistics')",62
"('classification', 'machine-learning-model')",61
"('predictive-modeling', 'time-series')",60
"('convolutional-neural-network', 'keras')",60
"('nlp', 'sentiment-analysis')",60
"('algorithms', 'machine-learning')",59
"('lstm', 'nlp')",59
"('rnn', 'time-series')",59
"('deep-learning', 'reinforcement-learning')",58
"('deep-learning', 'regression')",58
"('keras', 'loss-function')",58
"('deep-learning', 'loss-function')",58
"('classification', 'dataset')",57
"('classification', 'random-forest')",57
"('predictive-modeling', 'regression')",56
"('classification', 'feature-selection')",56
"('python', 'visualization')",56
"('loss-function', 'machine-learning')",56
"('linear-regression', 'python')",55
"('gpt', 'nlp')",55
"('jupyter', 'python')",54
"('machine-learning', 'rnn')",54
"('object-detection', 'yolo')",54
"('classification', 'cnn')",54
"('image-classification', 'tensorflow')",54
"('keras', 'rnn')",54
"('convolutional-neural-network', 'tensorflow')",53
"('pytorch', 'tensorflow')",53
"('nlp', 'spacy')",53
"('convolutional-neural-network', 'machine-learning')",52
"('anomaly-detection', 'machine-learning')",52
"('neural-network', 'transformer')",52
"('classification', 'keras')",52
"('nlp', 'pytorch')",52
"('image-classification', 'neural-network')",52
"('object-detection', 'tensorflow')",52
"('k-means', 'python')",52
"('python', 'text-classification')",51
"('nlp', 'tfidf')",51
"('classification', 'svm')",51
"('logistic-regression', 'python')",50
"('nlp', 'tensorflow')",50
"('dataset', 'pandas')",50
"('numpy', 'pandas')",50
